Category,Discounted,SoldBy,Url,Title,CurrentPrice,Savings,OriginalPrice,SellerRating
,True,,https://uae.souq.com/ae-en/versace-red-shirt-neck-polo-for-men-30473516/i/,,,170.99 ,370.00 ,
,True,,https://uae.souq.com/ae-en/versace-navy-blue-shirt-neck-polo-for-men-30473261/i/,,,170.99 ,370.00 ,
,True,,https://uae.souq.com/ae-en/versace-navy-blue-shirt-neck-polo-for-men-30473423/i/,,,170.99 ,370.00 ,
,True,,https://uae.souq.com/ae-en/versace-red-shirt-neck-polo-for-men-30473482/i/,,,170.99 ,370.00 ,
,True,,https://uae.souq.com/ae-en/tally-weijl-black-knitted-bodysuit-for-women-30629646/i/,,,10.00 ,39.00 ,
,True,,https://uae.souq.com/ae-en/tally-weijl-black-round-neck-tank-top-for-women-30629542/i/,,,9.99 ,29.00 ,
,False,,https://uae.souq.com/ae-en/tally-weijl-tank-top-for-women-black-29991841/i/,,,-20.99 ,,(73% Positive Rating)
,False,,https://uae.souq.com/ae-en/tally-weijl-tank-top-for-women-black-29991835/i/,,,-0.95 ,,
,False,,https://uae.souq.com/ae-en/tally-weijl-tank-top-for-women-black-29991848/i/,,,-0.95 ,,
,True,,https://uae.souq.com/ae-en/supreme-hoodie-for-men-black-28090194/i/,,,189.75 ,498.75 ,(38% Positive Rating)
,True,,https://uae.souq.com/ae-en/pepe-jeans-t-shirt-for-men-black-30457588/i/,,,50.00 ,99.00 ,
,False,,https://uae.souq.com/ae-en/blue-tankinis-for-women-8095081/i/,,,-35.89 ,,
,False,,https://uae.souq.com/ae-en/togz-black-white-bikini-set-for-women-27349060/i/,,,-75.00 ,,
,False,,https://uae.souq.com/ae-en/white-sarong-cover-ups-for-women-10377806/i/,,,-49.99 ,,
,False,,https://uae.souq.com/ae-en/multi-color-bikini-for-women-8948818/i/,,,-65.10 ,,(76% Positive Rating)
,False,,https://uae.souq.com/ae-en/black-one-piece-monokini-for-women-10361128/i/,,,-79.00 ,,(72% Positive Rating)
